"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"ABC","AmerisourceBergen Corporation (Holding Co)","84.03","$17.09B","n/a","Health Care","Other Pharmaceuticals","https://old.nasdaq.com/symbol/abc",
"RYCE","Amira Nature Foods Ltd","13.24","$26.72M","2012","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/ryce",
"AMN","AMN Healthcare Services Inc","40.33","$1.89B","n/a","Technology","Professional Services","https://old.nasdaq.com/symbol/amn",
"AMRX","Amneal Pharmaceuticals, Inc.","4.1","$1.23B","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/amrx",
"AP","Ampco-Pittsburgh Corporation","3.2","$40.51M","n/a","Capital Goods","Fluid Controls","https://old.nasdaq.com/symbol/ap",
"APH","Amphenol Corporation","83.28","$24.64B","n/a","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/aph",
"AXR","AMREP Corporation","4.22","$34.34M","n/a","Consumer Services","Newspapers/Magazines","https://old.nasdaq.com/symbol/axr",
"HKIB","AMTD International Inc.","6.86","$1.68B","2019","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/hkib",
"AME","AMTEK, Inc.","78.75","$18.07B","n/a","Consumer Durables","Metal Fabrications","https://old.nasdaq.com/symbol/ame",
"PLAN","Anaplan, Inc.","41.18","$5.64B","2018","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/plan",
"FINS","Angel Oak Financial Strategies Income Term Trust","15.9","$183.17M","2019","n/a","n/a","https://old.nasdaq.com/symbol/fins",
"AU","AngloGold Ashanti Limited","26.05","$10.84B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/au",
"BUD","Anheuser-Busch Inbev SA","39.52","$77.43B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/bud",
"AXE","Anixter International Inc.","93.88","$3.19B","n/a","Consumer Non-Durables","Telecommunications Equipment","https://old.nasdaq.com/symbol/axe",
"NLY","Annaly Capital Management Inc","5.93","$8.48B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/nly",
"NLY^D","Annaly Capital Management Inc","23.15","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nly^d",
"NLY^F","Annaly Capital Management Inc","21.13","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nly^f",
"NLY^G","Annaly Capital Management Inc","20.67","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nly^g",
"NLY^I","Annaly Capital Management Inc","21.09","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nly^i",
"AM","Antero Midstream Corporation","3.57","$1.7B","2017","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/am",
"AR","Antero Resources Corporation","2.47","$662.92M","2013","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/ar",
"ANTM","Anthem, Inc.","273.28","$68.9B","n/a","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/antm",
"ANH","Anworth Mortgage Asset  Corporation","1.45","$143.46M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/anh",
"ANH^A","Anworth Mortgage Asset  Corporation","19.5544","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/anh^a",
"ANH^B","Anworth Mortgage Asset  Corporation","17","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/anh^b",
"ANH^C","Anworth Mortgage Asset  Corporation","19.01","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/anh^c",
"AON","Aon plc","193.93","$44.81B","n/a","Finance","Specialty Insurers","https://old.nasdaq.com/symbol/aon",
"APA","Apache Corporation","10.36","$3.91B","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/apa",
"AIV","Apartment Investment and Management Company","33.55","$4.99B","1994","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/aiv",
"APY","Apergy Corporation","8.65","$670.42M","2018","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/apy",
"APHA","Aphria Inc.","3.02","$807.1M","2018","Consumer Durables","Specialty Chemicals","https://old.nasdaq.com/symbol/apha",
"APG","APi Group Corporation","9.45","$1.61B","2020","Basic Industries","Engineering & Construction","https://old.nasdaq.com/symbol/apg",
"ARI","Apollo Commercial Real Estate Finance","7.12","$1.1B","2009","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/ari",
"APO","Apollo Global Management, Inc","41.77","$9.56B","2011","Finance","Investment Managers","https://old.nasdaq.com/symbol/apo",
"APO^A","Apollo Global Management, Inc","25.64","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/apo^a",
"APO^B","Apollo Global Management, Inc","25.6","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/apo^b",
"AFT","Apollo Senior Floating Rate Fund Inc.","11.87","$184.85M","2011","n/a","n/a","https://old.nasdaq.com/symbol/aft",
"AIF","Apollo Tactical Income Fund Inc.","11.29","$163.3M","2013","n/a","n/a","https://old.nasdaq.com/symbol/aif",
"APLE","Apple Hospitality REIT, Inc.","8.24","$1.84B","2015","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/aple",
"AIT","Applied Industrial Technologies, Inc.","50.3","$1.95B","n/a","Consumer Durables","Industrial Specialties","https://old.nasdaq.com/symbol/ait",
"ATR","AptarGroup, Inc.","102.46","$6.58B","n/a","Consumer Non-Durables","Plastic Products","https://old.nasdaq.com/symbol/atr",
"APTV","Aptiv PLC","63.15","$16.1B","2011","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/aptv",
"ARMK","Aramark","23.38","$5.91B","2013","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/armk",
"ABR","Arbor Realty Trust","6.43","$708.92M","2004","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/abr",
"ABR^A","Arbor Realty Trust","23.7832","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/abr^a",
"ABR^B","Arbor Realty Trust","23.38","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/abr^b",
"ABR^C","Arbor Realty Trust","23.35","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/abr^c",
"ARC","ARC Document Solutions, Inc.","0.8","$34.77M","2004","Consumer Services","Professional Services","https://old.nasdaq.com/symbol/arc",
"MT","ArcelorMittal","8.43","$8.52B","n/a","Basic Industries","Steel/Iron Ore","https://old.nasdaq.com/symbol/mt",
"ARCH","Arch Resources, Inc.","28.09","$425.36M","2016","Energy","Coal Mining","https://old.nasdaq.com/symbol/arch",
"ADM","Archer-Daniels-Midland Company","34.16","$18.98B","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/adm",
"AROC","Archrock, Inc.","4.95","$756.98M","n/a","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/aroc",
"ARNC","Arconic Corporation","8.33","$908.15M","2020","n/a","n/a","https://old.nasdaq.com/symbol/arnc",
"ARCO","Arcos Dorados Holdings Inc.","3.24","$661.19M","2011","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/arco",
"ACA","Arcosa, Inc.","32.18","$1.55B","2018","Capital Goods","Metal Fabrications","https://old.nasdaq.com/symbol/aca",
